Datetime,BTC-EUR_Open,BTC-EUR_High,BTC-EUR_Low,BTC-EUR_Close,BTC-EUR_Adj Close,BTC-EUR_Volume
2023-09-17,24934.185546875,25073.419921875,24810.19140625,24898.650390625,24898.650390625,6936865556
2023-09-18,24898.318359375,24938.40234375,24783.1875,24872.564453125,24872.564453125,6349996049
2023-09-19,24871.4453125,25725.35546875,24753.900390625,25021.5390625,25021.5390625,14604012182
2023-09-20,25027.68359375,25734.2109375,24952.451171875,25474.994140625,25474.994140625,12926732278
2023-09-21,25474.162109375,25619.44140625,25169.361328125,25475.59765625,25475.59765625,12470304435
2023-09-22,25473.5625,25533.7265625,24798.580078125,24921.8203125,24921.8203125,12543109513
2023-09-23,24918.466796875,25111.501953125,24866.294921875,24924.990234375,24924.990234375,9920219726
2023-09-24,24924.041015625,24976.20703125,24869.6171875,24924.822265625,24924.822265625,6943757707
2023-09-25,24924.80859375,25032.384765625,24622.509765625,24657.96875,24657.96875,7693979394
2023-09-26,24655.103515625,24945.947265625,24474.373046875,24829.97265625,24829.97265625,11327874247
2023-09-27,24826.458984375,24927.884765625,24677.22265625,24805.451171875,24805.451171875,9447779085
2023-09-28,24798.1171875,25445.197265625,24886.236328125,25085.046875,25085.046875,11154679998
2023-09-29,25087.9921875,25788.466796875,25071.955078125,25581.568359375,25581.568359375,13328732653
2023-09-30,25584.6875,25664.966796875,25266.65625,25435.61328125,25435.61328125,9826190897
2023-10-01,25435.583984375,25605.810546875,25414.107421875,25488.7265625,25488.7265625,5038757973
2023-10-02,25488.236328125,26554.115234375,25486.05859375,26488.859375,26488.859375,8996218165
2023-10-03,26482.279296875,27102.021484375,26096.462890625,26269.95703125,26269.95703125,18886579408
2023-10-04,26248.45703125,26427.73046875,25990.328125,26202.021484375,26202.021484375,10897120569
2023-10-05,26201.158203125,26480.73828125,26008.78125,26458.6015625,26458.6015625,10605900143
2023-10-06,26457.890625,26689.291015625,25988.69921875,25995.521484375,25995.521484375,11261905035
2023-10-07,25991.927734375,26668.982421875,25928.06640625,26380.189453125,26380.189453125,12736143050
2023-10-08,26380.365234375,26457.1171875,26308.287109375,26401.185546875,26401.185546875,6185746183
2023-10-09,26403.865234375,26527.04296875,26166.6015625,26437.544921875,26437.544921875,7492467439
2023-10-10,26436.9609375,26502.41796875,25910.431640625,26074.796875,26074.796875,11350825082
2023-10-11,26080.017578125,26159.82421875,25759.330078125,25829.869140625,25829.869140625,9404919556
2023-10-12,25830.86328125,25902.541015625,25090.888671875,25296.39453125,25296.39453125,12847224158
2023-10-13,25296.3671875,25341.23046875,25199.677734375,25396.322265625,25396.322265625,8915317429
2023-10-14,25392.603515625,25771.900390625,25404.685546875,25552.80859375,25552.80859375,14425988685
2023-10-15,25556.44921875,25654.234375,25507.349609375,25552.171875,25552.171875,5125440701
2023-10-16,25548.65625,25936.96484375,25510.494140625,25811.17578125,25811.17578125,6745776251
2023-10-17,25814.00390625,27948.287109375,25791.068359375,27021.16796875,27021.16796875,26371596001
2023-10-18,27023.662109375,27051.130859375,26651.013671875,26876.296875,26876.296875,14066793457
2023-10-19,26874.19921875,27316.697265625,26742.578125,26882.20703125,26882.20703125,12074574546
2023-10-20,26886.07421875,27258.69140625,26748.376953125,27129.1875,27129.1875,13647866940
2023-10-21,27141.47265625,28431.201171875,27054.34765625,28007.34765625,28007.34765625,20320410961
2023-10-22,28007.755859375,28577.75390625,27817.5078125,28229.517578125,28229.517578125,10889649248
2023-10-23,28229.74609375,28494.67578125,28028.662109375,28324.646484375,28324.646484375,9865139860
2023-10-24,28463.265625,32214.931640625,28434.5625,31008.6484375,31008.6484375,35954608515
2023-10-25,31000.28125,32901.40234375,30820.650390625,31996.87109375,31996.87109375,42410461495
2023-10-26,32010.572265625,33210.74609375,31843.71484375,32653.228515625,32653.228515625,23900509783
2023-10-27,32654.615234375,33033.16015625,32067.623046875,32333.435546875,32333.435546875,18390210541
2023-10-28,32333.294921875,32434.953125,31636.96875,32080.365234375,32080.365234375,15532279998
2023-10-29,32078.40234375,32543.541015625,32047.259765625,32250.443359375,32250.443359375,9612180977
2023-10-30,32250.25,32855.3828125,32116.095703125,32700.62109375,32700.62109375,10566460826
2023-10-31,32694.23828125,32875.94921875,32171.35546875,32506.6796875,32506.6796875,16190853625
2023-11-01,32504.5234375,32827.0546875,32104.228515625,32773.70703125,32773.70703125,14897317685
2023-11-02,32763.775390625,33607.29296875,32370.2734375,33472.75390625,33472.75390625,21201940470
